,time,category,field,value,score
169,2025-03-15 14:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
171,2025-03-15 14:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2321.310606060606,0.1
172,2025-03-15 14:00:00+00:00,Air quality,Relative humidity (R.H.) (%),49.11969696969697,93.0
174,2025-03-15 14:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
175,2025-03-15 14:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),34.871212121212125,63.0
176,2025-03-15 14:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),30.204545454545453,30.0
178,2025-03-15 14:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
179,2025-03-15 14:00:00+00:00,Thermal comfort,Temperature (°C),19.622847069696974,100.0
180,2025-03-15 15:00:00+00:00,Acoustics,Sound pressure (dB(A)),64.08333333333333,0.1
181,2025-03-15 15:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
183,2025-03-15 15:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3198.9464285714284,0.1
184,2025-03-15 15:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.01547619047618,84.0
186,2025-03-15 15:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
187,2025-03-15 15:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),48.30952380952381,45.0
188,2025-03-15 15:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),38.97619047619047,18.0
190,2025-03-15 15:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
191,2025-03-15 15:00:00+00:00,Thermal comfort,Temperature (°C),20.126364385714282,98.0
192,2025-03-15 16:00:00+00:00,Acoustics,Sound pressure (dB(A)),59.833333333333336,0.1
193,2025-03-15 16:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
195,2025-03-15 16:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4265.616666666667,0.1
196,2025-03-15 16:00:00+00:00,Air quality,Relative humidity (R.H.) (%),54.269999999999996,78.0
198,2025-03-15 16:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
199,2025-03-15 16:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),54.25,41.0
200,2025-03-15 16:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),50.666666666666664,11.0
202,2025-03-15 16:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
203,2025-03-15 16:00:00+00:00,Thermal comfort,Temperature (°C),20.75648343333334,78.0
204,2025-03-15 17:00:00+00:00,Acoustics,Sound pressure (dB(A)),58.16666666666666,0.1
205,2025-03-15 17:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
207,2025-03-15 17:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4824.3,0.1
208,2025-03-15 17:00:00+00:00,Air quality,Relative humidity (R.H.) (%),55.21416666666668,73.0
210,2025-03-15 17:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
211,2025-03-15 17:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),53.91666666666667,45.0
212,2025-03-15 17:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),51.75,18.0
214,2025-03-15 17:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
215,2025-03-15 17:00:00+00:00,Thermal comfort,Temperature (°C),21.463983433333336,66.0
216,2025-03-15 18:00:00+00:00,Acoustics,Sound pressure (dB(A)),60.333333333333336,0.1
217,2025-03-15 18:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
219,2025-03-15 18:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),5169.983333333334,0.1
220,2025-03-15 18:00:00+00:00,Air quality,Relative humidity (R.H.) (%),56.20166666666667,68.0
